# Logisim PLA program table
00000011 0000 # ADD
00000100 0000 # ADC
00000101 0001 # SUB
00000110 0001 # SBB
00000111 0010 # MUL
00001000 0010 # IMUL
00001001 0011 # DIV
00001010 0011 # IDIV
00101001 0011 # REM
00101010 0011 # IREM
00011001 0100 # AND
00011010 0101 # OR
00011011 0110 # XOR
00001011 0111 # NOT
00001100 0000 # INC
00001101 0001 # DEC
00011100 0001 # CMP
00011101 0001 # ICMP
00010100 1000 # LSL
00010101 1001 # LSR
00010110 1010 # ASR
00010111 1011 # ROL
00011000 1100 # ROR
